category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type
;;;ensoleillée à mi-ombragée;Légumineuses, Fabacées, Papilionacées;mai à juillet;jaune, blanc, rouge;caduc, mais reste vert toute l'année;1 à 3 m;Cytisus scoparius;;Europe;arbuste florifère;bouturage, semis;;très rustique, jusqu'à -25°C;acide à neutre;normal à sec;drainant, assez pauvre, caillouteux;Sarothamnus scoparius;;;massif, talus, plante mellifère, médicinale;arbustive
;;;ensoleillée à mi-ombre;Ericacées;juin à septembre;blanche, rose, violet, rouge;;20 à 50 cm;Daboetia cantabrica;marcotte, semis;Irlande, France, Espagne, Portugal;arbrisseau;printemps, automne;;rustique, jusqu'à -17 °C;très acide à faiblement acide;normal, jamais sec;sablonneux à limoneux, pauvre;Daboetia polyfolia, Vaccinium cantabricum, Bryanthus polifolius;;;rocaille, talus, couvre-sol, massif;vivace
;;les cochenilles;soleil, mi-ombre;Escalloniacées;été;blanc, rose, rouge;persistant;jusqu'à 3 m;Escallonia;bouturage en septembre;Amérique du Sud;arbuste à fleurs;automne, printemps;;températures négatives tolérées en situation abritée;neutre, calcaire toléré;normal;bien drainé, fertile;;;;haie taillée, haie libre, haie fleurie, haie basse;vivace
;;;ensoleillée;Théacées;fin de lété;blanche;caduc;4 à 6 m;Franklinia alatamaha;semis, marcottage;Géorgie;arbre à fleur;automne;;rustique, -19°C;acide à neutre;normal, craint lhumidité;drainant, profond et fertile;;;;arbre isolé;vivace
;;l'oïdium, la rouille, les perces-oreilles, les pucerons, les araignées rouges, les aleurodes, la pourriture grise;mi-ombre à ombre claire;Onagracées;juin à octobre;rouge et mauve, rose, blanc;caduc, semi-persistant en zone hors gel;120 à 200 cm;Fuchsia magellanica;semis au printemps, bouturage herbacé au printemps ou mi-aoûté en été;Chili, Argentine;plante arbustive;printemps, automne;;rustique, jusqu'à -15 °C, voire davantage pour les fuchsias bien installés;acide à neutre;frais;riche et humifère, un minimum drainant;;Rabattez Fuchsia magellanica sévérement avant l'hiver dans les régions aux hivers rudes puis protéger-le avec un paillage de feuilles mortes par exemple.;;massif, pot, bac, haie libre;vivace
;;;ensoleillée à mi-ombre;Caprifoliacées;fin d'été;blanc rosé;caduc;4 à 5 m, rarement 8;Heptacodium jasminoides;bouture, semis;Chine;petit arbre ornemental;automne, printemps;;très rustique jusqu'à -34 °C;acide à légèrement alcalin;normal;à tendance argileuse ou sablonneuse;Heptacodium miconioides;;;isolé, en  massif;vivace
;;la cochenille farineuse, les pucerons noirs;soleil;Malvacées;de juillet à octobre;rose, rouge, blanc, mauve, bleu;caduc;3 m;Hibiscus syriacus;semis, bouturage en hiver;Inde, Chine;arbuste à fleurs;automne;;- 15 °C, rustique;neutre;frais;Bonne terre fertile, bien drainée;;Raccourcir les tiges trop longues après la floraison;;massif, haie taillée, haie libre, haie fleurie;vivace
;;les cochenilles, les acariens, l'oïdium, l'ascochyta ( taches noires sur les feuilles ), la pourriture grise ( feuilles et tiges couvertes d'un duvet gris );soleil, mi-ombre, orientation nord-ouest idéale;Hydrangeacées, Philadelphacées;de juillet à septembre;rose, rouge, bleu, blanc;caduc;2 m;Hydrangea;semis en mars, bouturage de juillet à septembre;Amérique du nord, Japon;arbuste à fleurs;printemps, automne;;rustique;acide pour les variétés à fleurs bleues, neutre, non calcaire;frais;riche en humus, 1/3 de terre de jardin avec 2/3 de terre pour plantes de terre de bruyère;;Après les froids de mars enlevez les fleurs fanées. Vous pouvez rajeunir ou maîtriser la densité de vos hortensias en taillant vos plantes au printemps en rabattant au raz du sol les plus vieux rameaux.;toxique;isolé, haie libre, isolé, massif, bac;vivace
;;les cochenilles, les acariens, l'oïdium, l'ascochyta ( taches noires sur les feuilles ), la pourriture grise ( feuilles et tiges couvertes d'un duvet gris );soleil, mi-ombre, orientation nord-ouest idéale;Hydrangeacées, Philadelphacées;été;blanc;caduc;de 1,5 à 2 m;Hydrangea arborescens;semis en mars, bouturage de juillet à septembre;sud-est des Etats-Unis;arbuste à fleurs;printemps, automne;;rustique;normal;frais;bien drainé, moyennement riche en humus;;Après les froids d'avril enlevez les fleurs fanées. Vous pouvez rajeunir ou maîtriser la densité de vos hortensias en taillant vos plantes au printemps en rabattant au raz du sol les plus vieux rameaux.;;massif, isolé, haie libre;vivace
;;;mi-ombre;Hydrangeacées, Philadelphacées;juin à octobre, selon les variétés;mauve et blanc;caduc;2 à 4 m;Hydrangea aspera;bouture, marcottage;Asie, Himalaya;arbuste d'ornement;printemps, fin d'été;;rustique, -17°C;fortement acide à légèrement basique;frais;humifère et drainant;;;;fond de massif, lisière mi-ombre, bouquet;arbustive
;;;soleil à mi-ombre;Hydrangeacées, Philadelphacées;juillet, août;blanc;caduc;2 à 5 m;Hydrangea heteromalla;bouture, marcottage;Asie, Himalaya;arbuste d'ornement;printemps, automne;;très rustique, jusqu'à -27 °C;fortement acide à légèrement basique;frais à normal;humifère et drainant;Hydrangea bretschneideri;;;fond de massif, lisière;vivace
;;;mi-ombre;Hydrangeacées, Philadelphacées;juillet à octobre;bleutée;caduc;0,80 à 1,20 m;Hydrangea involucrata;bouture, marcottage;Japon;arbuste dornement;printemps, fin dété;;très rustique, -24°C;moyennement acide à moyennement basique;frais à humide;humifère;;;;massif, lisière mi-ombre;vivace
;;;mi-ombre;Hydrangeacées, Philadelphacées;juillet à octobre;rose, bleu;caduc;0,90 m;Hydrangea macrophylla YOU and ME 'Perfection';bouture;Japon;arbuste d'ornement;printemps;;très rustique, -30°C;fortement acide à neutre;frais à humide;humifère;;;;massif, lisière mi-ombre, bouquet;vivace
;;;mi-ombre;Hydrangeacées, Philadelphacées;juillet à octobre;rose, bleu;caduc;0,90 à 2 m;Hydrangea macrophylla;bouture, marcottage;Japon;arbuste d'ornement;printemps, fin d'été;;très rustique, -30°C;fortement acide à neutre;frais à humide;humifère;;;;massif, lisière mi-ombre, bouquet;vivace
;;les cochenilles, les acariens, l'oïdium, l'ascochyta (taches noires sur les feuilles), la pourriture grise (feuilles et tiges couvertes d'un duvet gris);mi-ombre à plein soleil;Hydrangeacées, Philadelphacées;de juin aux gelées selon les cultivars;blanc puis rosé;caduc;de 1,5 à 6 m;Hydrangea paniculata;semis en mars, bouturage de juillet à septembre;Chine, Japon;arbuste à fleurs;printemps, automne;;rustique;légèrement acide à légèrement basique;normal à frais;riche et pas trop lourd;;Après les froids d'avril enlevez les fleurs fanées. Vous pouvez rajeunir ou maîtriser la densité de vos hortensias en taillant vos plantes au printemps en rabattant au raz du sol les plus vieux rameaux.;;massif, isolé, haie libre;vivace
;;l'oïdium, la pourriture grise;mi-ombre, orientation ouest parfaite;Hydrangeacées, Philadelphacées;de juillet à octobre;blanc;caduc;jusqu'à 2 m;Hydrangea quercifolia;Bouturage de rameaux herbacés dans le courant juin en miniserre à l’étouffée, avec chauffage de fond (20/22 °C), ou bouturage à bois sec de novembre à février, directement en pleine terre.;Sud-est des Etats-Unis;arbuste à fleurs;de préférence en automne;;rustique, se méfier des gelées tardives qui peuvent endommager les bourgeons;un peu acide (pH 6/6,5);frais, un bon paillis en permanence;riche, profond et bien drainé, en pot, un mélange à parts égales de terreau et de terre de bruyère;;Juste avant le démarrage de la végétation, raccourcissez les pousses les plus longues d’un tiers de leur longueur, en coupant au-dessus d’un bourgeon. La taille vise à conserver les plantes compactes et à équilibrer la silhouette. Il n’est pas nécessaire de procéder chaque année, d’autant que cela vous prive d’une partie de la floraison, puisque les panicules sont portées par du bois de deux ans. Tous les 3/4 ans, il est bon de procéder à un rajeunissement de la plante en taillant tous les vieux rameaux qui poussent obliquement vers le centre de l’arbuste.;;massif, pot;vivace
;;;mi-ombre;Hydrangeacées, Philadelphacées;juin à septembre;rose, bleu, blanc;caduc;60 à 100 cm;Hydrangea serrata 'Blue Bird';bouture, marcottage;Horticole, Japon;arbuste d'ornement;printemps, fin d'été;;très rustique, -30°C;fortement acide à neutre;frais à humide;humifère;;;;massif, lisière mi-ombre, bouquet;vivace
;;;mi-ombre;Hydrangeacées, Philadelphacées;juin à septembre selon les variétés;rose, bleu, blanc;caduc;0,60 à 1,20 m;Hydrangea serrata;bouture, marcottage;Japon;arbuste d'ornement;printemps, fin d'été;;très rustique, -30°C;fortement acide à neutre;frais à humide;humifère;;;;massif, lisière mi-ombre, bouquet;vivace
;;;mi-ombre;Hydrangeacées, Philadelphacées;juin à août;violacée;caduc;2 à 3 m;Hydrangea villosa;bouture, marcottage;Asie;arbuste d'ornement;printemps, fin d'été;;très rustique, -24 °C;moyennement acide à légèrement basique;frais à humide;humifère;Hydrangea aspera subsp villosa;;;massif, lisière;vivace
;;rouille;ensoleillée à mi-ombre;Clusiacées, Guttifères;juillet à septembre;jaune;semi-persistant;0.50 à 1 m 20;Hypericum x inodorum;boutures;hybride d'origine indéterminée;arbuste ornemental;automne jusquà avril;;rustique, -15°C;indifférent;frais;fertile;;;;massif, rocaille, bordure, bouquet;vivace semi-arbustive
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;juillet à octobre;rose;caduc;1,50 à 2 m;Indigofera amblyantha;rejets, semis;;arbuste à fleurs;automne, printemps;;rustique, -19°C;tolérant;normal;tolérant;;;;massif;vivace
;;;mi-ombre;Ericacées;juin, juillet;blanche à rose;persistant;1m;Kalmia latifolia;bouture, marcottage, semis;Amérique du nord;arbuste d'ornement;printemps, automne;;rustique jusqu'à - 27°C;acide;frais;riche et drainant;;;toute les parties de la plante sont toxiques;massif, pourtour de bassin, sous-bois;vivace
;;pourriture de la souche en hiver, rouille;soleil;Malvacées;été, automne;blanc, rose;caduc;de 1,5 à 3 m;Lavatera x;semis à partir des graines récoltées, bouturage fin août, bouturage de rejet en juin;Bassin méditerranéen;arbuste à fleurs, ou annuelle au port arbustif;printemps, automne;;-15°C;neutre;normal, n'apprécie pas l'humidité;riche, léger, bien drainé;;Rabattre au printemps, en laissant deux ou trois yeux ou à environ 50 cm du sol.;;isolé, haie libre, bac;vivace, annuelle, bisannuelle
;;résistant aux maladies et peu sensible aux insectes;ensoleillée;Légumineuses, Fabacées, Papilionacées;daoût jusquaux gelées;pourpre;caduc;1 à 2m;Lespedeza thunbergii;séparation des rejets, semis;Asie;plante semi-arbustive;printemps;;rustique - 15°C;acide à neutre;normal;tolérant;Desmodium penduliflorum;;;massif, talus;vivace
;;résistant aux insectes et aux maladies;soleil, mi-ombre;Caprifoliacées;de juin à octobre;blanc;caduc;Jusqu'à 2 m;Leycesteria formosa;semis en automne sous chassis, bouturage herbacée à la fin du printemps;Himalaya, Chine de l'ouest;arbuste à fleurs;printemps, automne;;-20°C;neutre;frais;plutôt riche en humus , bien drainé;;rabattez les plus vieilles tiges à la fin de l'hiver;;haie libre, isolé, massif;vivace
;;;ensoleillée à mi-ombre;Magnoliacées;juillet à août;jaune;caduc;30 à 40 m;Liriodendron tulipifera;semis, marcottage;sud et de est des États-Unis;arbre à fleur;automne;;très rustique, -34°C;légèrement acide à basique;sol normal à frais;profond et fertile;;;;arbre isolé;vivace
;;résistant aux parasites et aux maladies;soleil, mi-ombre;Magnoliacées;été;blanc-crème;persistant;jusqu'à 30 m selon les variétés;Magnolia grandiflora;semis, bouturage en septembre, marcottage;Amérique du nord;arbre;printemps;;rustique, de -25°C à -30°C selon les variétés;acide, pas de terre de bruyère pure car pauvre;bien frais;riche en humus;;Pas de taille nécessaire. Si une taille doit être faite, pratiquez-la après la floraison.;;isolé;vivace
;;la rouille;soleil, mi-ombre;Clusiacées, Guttifères;de juin à octobre;jaune;variable selon les espèces;de 20 à 30 cm;Hypericum;division, marcottage, bouturage;Hémisphère nord;petit arbuste à fleurs;le début de l’automne ou du printemps;;rustique;neutre;normal;tout type de sol bien drainé;;au début du printemps , rabattez à la cisaille les espèces vivaces pour obtenir un tapis bien dense et taillez les arbustives un an sur deux pour obtenir un port compact;;couvre-sol, talus, haie libre, bordure, pot, bac;vivace, vivace arbustive
;;résistant aux maladies;soleil à mi-ombre;Berbéridacées;juillet;blanc;persistant à semi-persistant;jusqu'à 2 m selon les variétés;Nandina domestica;semis au printemps, bouturage en fin d'été;Inde, Chine, Japon;arbuste à fleurs;printemps;;résistant à de courtes périodes à - 15 °C s’il est abrité des vents froids et desséchants. Pas de problème en ile de France.;neutre;normal;terre de jardin, bien drainé, pousse sans problème dans un terrain pauvre et caillouteux;;éliminer les pousses faibles de manière à bien aérer la touffe, rabattre les tiges endommagées par le gel.;;haie, bac, isolé, fond de massif;vivace
;;;ensoleillée à mi-ombre;Apocynacées;tout lété;rose;persistant;150 à 250 cm;Nerium oleander 'Villa Romaine';bouturage;Afrique du nord;plante méditerranéenne;printemps;;rustique jusquà -15°C;tolérant;normal à sec;léger et drainant;;;;massif, potée;vivace
;;;mi-ombre;Scrophulariacées;été, automne;rouge, jaune, rose;feuillage persistant en climat tempéré chaud;40 cm à 150 cm;Phygelius aequalis;semis;Afrique du Sud;plante vivace;printemps;;rustique, jusqu'à -12 °C voire davantage;acide à légèrement alcalin;frais mais drainant;sol humifère;;;;massif, potée;arbustive
;;résistant aux maladies et aux insectes;soleil, mi-ombre;Rosacées;juin;blanc;caduc;de 1 à 3 m selon les espèces et les variétés;Physocarpus;Semis en godet à l’extérieur, en mars après stratification des graines ou en octobre juste après la récolte. Boutures herbacées en juin sous abri, à l’étouffée, avec une légère chaleur de fond. Séparation de rejets d’octobre à fin mars.;Asie de l'est, Amérique du nord;arbuste à fleurs;en automne;;très rustique, jusqu'à - 20 à - 25 °C;un peu acide;frais;fertile, bien drainé;;Taillez après la floraison en défourchant les branches principales pour aérer le centre de la touffe. Réduisez chaque année la longueur des branches principales d’un tiers environ. Les très vieux sujets dégarnis de la base peuvent être entièrement recépés (coupés au ras du sol).;;haie libre, bac;vivace
;;parfois l'oïdium, les pucerons, les araignées rouges;soleil, mi-ombre pour les variétés colorées;Rosacées;de mai à octobre;jaune, orange, rose, rouge;caduc;de 30 cm 1,5 m;Potentilla fruticosa;bouturage facile fin août, bouturage à bois sec de novembre à février est aussi très facile;Hémisphère nord;arbuste à fleurs;automne, printemps;;-25°C, très rustique;neutre à calcaire;normal, sec;ordinaire, sableux, bien drainé, évitez les terres lourdes ou inondées;;Taillez chaque année au départ de la végétation pour stimuler la floraison et conserver une forme buissonnante.;;massif, haie basse, haie fleurie, couvre-sol, bac;vivace
;;;ensoleillée à mi-ombre;Ericacées;juillet;blanche, parfois rosée;persistant;jusqu'à 10 m;Rhododendron auriculatum;boutures, marcottage, semis;Chine;petit arbre à fleurs;automne et printemps;;très rustique, jusqu'à -21 °C;légèrement acide à acide;normal à frais;humifère;;;;en isolé, en massif;vivace
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;mai à juillet;blanche, rouge pour certaines variétés;caduc;10 à 25 m;Robinia pseudoacacia;semis, rejets de souche, greffe;Amérique du nord;arbre;printemps;;très rustique, -24°C;acide à basique;normal;tolérant;;;en dehors des fleurs, toutes les parties sont toxiques;ornementale, fleurs médicinales et comestibles, bois de qualité;vivace
;;;ensoleillée à mi-ombre;Rosacées;d'avril jusqu'aux gelées;jaune, rose, magenta, orange;semi-persistant;1,20  à 2,50 m;Rosa chinensis 'Mutabilis';boutures, marcottes, semis, divisions;Chine;rosier ancien à fleurs simples;automne, printemps;;rustique jusqu'à -12 °C;moyennement acide à peu basique;frais à très sec une fois bien installé;tolérant;Rosa indica, Rosa chinensis var spontanea;;;arbuste ornementale, haie libre;arbustive
;;;ensoleillée à mi-ombre;Rosacées;de juin jusqu'aux gelées;rose à rouge;caduc;1m 30 à 2 m;Rosa chinensis;boutures, marcottes, semis, divisions;Chine;rosier botanique;automne, printemps;;rustique, jusqu'à -19 °C;moyennement acide à moyennement basique;normal à sec;tolérant;Rosa indica, Rosa chinensis var spontanea;;;arbuste ornementale, haie libre;arbustive
;;;ensoleillée à mi-ombre;Rosacées;mai-juin;rose;caduc;80 cm;Rosa gallica;boutures, marcottes, semis;Europe méridionale, Europe centrale et Asie;rosier botanique;automne, printemps;;très rustique, -29°C;légèrement acide à légèrement basique;normal à légèrement sec;un peu lourd;;;;massif;arbustive
;;;ensoleillée à mi-ombre;Rosacées;mai à juin;jaune;caduc;2 m à 2,50 m;Rosa hugonis;boutures, marcottes, semis;centre de la Chine;rosier botanique;automne, printemps;;très rustique jusqu'à -25 °C;acide à légèrement basique;normal à sec;relativement drainant;Rosa Xanthina;;;arbuste ornemental en haie libre, ou en isolé;arbustive
;;;ensoleillée à mi-ombre;Rosacées;juin jusqu'aux gelées;blanc;caduc;2 à 3 m;Rosa moschata;boutures, marcottes, semis;Asie ou Moyen-Orient;rosier botanique;automne, printemps;;rustique, jusqu'à -19 °C;acide;normal à sec;argilo-siliceux;Rosa moschata var. nastarana, Rosa pissartii;;;haie, massif, collection;arbustive
;;;ensoleillée à mi-ombre;Rosacées;juin -juillet;blanc;caduc;2 à 3 m;Rosa multiflora;boutures, marcottes, semis, divisions;Asie;rosier botanique;automne, printemps;;très rustique, -37 °C;acide à légèrement acide;normal;très tolérant;;;;haie, lisère, porte-greffe;arbustive, semi-grimpante
;;;ensoleillée à mi-ombre;Rosacées;juin -juillet;blanc crème;caduc;80 cm à 1 m 20;Rosa pimpinellifolia;boutures, marcottes, semis, divisions;Europe;rosier botanique;automne, printemps;;très rustique, -25 °C;neutre à  basique;normal à légèrement sec;drainant, minéral et pauvre;Rosa spinosissima;;;haie défensive, lisière;arbustive
;;;ensoleillée à mi-ombre;Rosacées;juin -juillet;blanc;semi-persistant;2 à 5 m;Rosa wichuraiana;boutures, marcottes, semis, divisions;Asie orientale;rosier botanique grimpant;automne, printemps;;très rustique jusqu'à -24 °C;neutre à  basique;normal;argilo-siliceux, même lourd;Rosa luciae var wichuraiana;;;haie défensive, lisière, pergola;arbustive
;;;soleil à mi-ombre;Rosacées;mai à novembre;rouge;caduc;0,60 à 0,90 cm;Rosa x Décorosiers® 'VESUVIA';boutures, marcottes, greffe, mais la reproduction est soumise à des droits d'obtenteur;horticole;rosier paysager;automne, printemps;;rusique, jusqu'à -18°C;acide à légèrement basique;normal à un peu sec;très tolérant, sauf sols trop calcaires;Rosa x 'Noare';;;haie basse, couvre-sol, talus, massif;arbustive
;;les taches noires, l'oïdium, la chlorose, les pucerons, les cochenilles;soleil, à l'abri du vent;Rosacées;printemps, été;variées;caduc;3 m;Rosa;semis en mars, bouturage en septembre-octobre , greffage;Asie;arbuste à fleurs, plante grimpante;rosiers à racines nues d'octobre à avril, rosiers en conteneur à planter toute l'année. éviter les périodes de sécheresse et les jours de gel. Notre fiche sur la plantation des rosiers;;rustique mais protégez le point de greffe par un buttage de 20 cm;neutre, acide, éviter les sols trop calcaire;normal;terre à tendance argileuse, riche, bien drainé pour ne pas asphyxier les racines;;taille des rosiers;;massif, haie, couvre-sol, isolée sur une pelouse, grimpant, bac, pot;vivace
;;;soleil;Rosacées;de mai aux gelées;rouge, rose, blanc;caduc;de 1 à 2 m selon les variétés;Rosa rugosa;semis, séparation des rejets pour les formes botaniques, boutures;Chine, Japon, Corée;arbuste à fleurs;printemps et automne pour les plantes à racines nues;;rustique;neutre;plutôt frais;plutôt riche, drainé;;en mars, éliminez les rameaux abîmés et les plus vieilles branches. rabattez légèrement pour remettre en forme votre rosier. supprimez les rejets sans intérêt des variétés greffées (sur Rosa canina, l'églantier);Gare aux épines;massif, haie défensive;vivace
;;;ensoleillée à mi-ombre;Labiacées, Lamiacées, Labiées;août à septembre;bleu;caduc;30 à 45 cm;Salvia chamaedryoïdes;bouture, semis;Mexique et Texas;arbustive à fleurs;printemps;;rustique, -12°C;légèrement acide à légèrement alcalin;normal à sec;léger et drainant;;;;massif, potée;vivace
;;;soleil à mi-ombre;Labiacées, Lamiacées, Labiées;avril à septembre;rouge, rose, blanc, violet, orange;semi-persistant;50 à 120 cm;Salvia greggii;bouture, semis, marcotte;Mexique et Texas;arbustive;printemps;;rustique -15°C;légèrement acide à alcalin;normal à sec;drainant, calcaire, sablonneux ou limoneux;;;;massif, potée, haie basse, plante aromatique;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;mai jusqu'aux gelées;rouges et blanches;caduc;50 à 120 cm;Salvia microphylla 'Hot Lips';bouture;Mexique;arbustive;printemps;;rustique jusqu'à -16°C;légèrement acide à légèrement alcalin;normal à sec;drainant;;;;massif, potée, haie basse;vivace
